Study ID,authors,year,journal,Study_Loc,latitude,longitude,aug_daily_average,aug_daily_max,average_summer_rain,weather_station,distance,Study_Lat,Study_Long,Notes on Study_loc,caribou_herd,caribou_type,Subspecies,caribou data?,dates of sampling,data type,method,sample_size,unit,lichen,lichen_error,graminoid,graminoid_error,forbs,forbs_error,shrubs,shrubs_error,horsetail,horsetail_error,tree,tree_error,moss,moss_error,fungi,fungi_error,other,other_error,season,annual,age,sex,spatial,sympatric_ungulates,Notes
16a.1,Gustine et al.,2012,Journal of Mammology,,69,-150,7.3,10.9,NA,Nuiqsut Airport AK,NA,69°N,150°W,Estimated from map,Central Arctic,migratory,barren-ground,A composite sample of feces was created for each foraging site to estimate the proportion of plants within forage groups in the diet. Composite samples (Table 1) were created by randomly selecting 5–10 pellets from each fecal sample collected at a site,Late winter of 2006-2008,fecal,,n of sites = 4 (uknown n of samples),Composition (percent of diet) and corrected by the desnity of plant framents in feces for apparent digestibality (boertje 1990_,76,2.7,6,1.6,1,0.8,7,0.9,NA,NA,NA,NA,9,1.8,NA,NA,,,winter,2006,NA,NA,Migratory Herd,3,Authors State: Characteristics of diet and terrain did not differ by ecotype or herd
16a.2,Gustine et al.,2012,Journal of Mammology,,69,-150,7.3,10.9,NA,Nuiqsut Airport AK,NA,69°N,150°W,Estimated from map,Central Arctic,migratory,barren-ground,A composite sample of feces was created for each foraging site to estimate the proportion of plants within forage groups in the diet. Composite samples (Table 1) were created by randomly selecting 5–10 pellets from each fecal sample collected at a site,Late winter of 2006-2008,fecal,,n of sites = 4 (uknown n of samples),Composition (percent of diet) and corrected by the desnity of plant framents in feces for apparent digestibality (boertje 1990_,61,11.7,9,5.7,0,0,7,3,NA,NA,NA,NA,24,7.5,NA,NA,,,winter,2007,NA,NA,Migratory Herd,3,Authors State: Characteristics of diet and terrain did not differ by ecotype or herd
16a.3,Gustine et al.,2012,Journal of Mammology,,69,-150,7.3,10.9,NA,Nuiqsut Airport AK,NA,69°N,150°W,Estimated from map,Central Arctic,migratory,barren-ground,A composite sample of feces was created for each foraging site to estimate the proportion of plants within forage groups in the diet. Composite samples (Table 1) were created by randomly selecting 5–10 pellets from each fecal sample collected at a site,Late winter of 2006-2008,fecal,,n of sites = 3 (uknown n of samples),Composition (percent of diet) and corrected by the desnity of plant framents in feces for apparent digestibality (boertje 1990_,47,15.3,7,1.6,13,5.3,10,2.6,NA,NA,NA,NA,23,6.5,NA,NA,,,winter,2008,NA,NA,Migratory Herd,3,Authors State: Characteristics of diet and terrain did not differ by ecotype or herd
16b.1,Gustine et al.,2012,Journal of Mammology,,66,-160,13.3,18.7,NA,Ambler Lake AK,NA,66°N,160°W,Estimated from map,Western Arctic,migratory,barren-ground,A composite sample of feces was created for each foraging site to estimate the proportion of plants within forage groups in the diet. Composite samples (Table 1) were created by randomly selecting 5–10 pellets from each fecal sample collected at a site,Late winter of 2006-2008,fecal,,n of sites = 5 (uknown n of samples),Composition (percent of diet) and corrected by the desnity of plant framents in feces for apparent digestibality (boertje 1990_,68,3.5,5,0.8,0,0,15,2.9,NA,NA,NA,NA,11,1.6,NA,NA,,,winter,2006,NA,NA,Migratory Herd,2,Authors State: Characteristics of diet and terrain did not differ by ecotype or herd
16b.2,Gustine et al.,2012,Journal of Mammology,,66,-160,13.3,18.7,NA,Ambler Lake AK,NA,66°N,160°W,Estimated from map,Western Arctic,migratory,barren-ground,A composite sample of feces was created for each foraging site to estimate the proportion of plants within forage groups in the diet. Composite samples (Table 1) were created by randomly selecting 5–10 pellets from each fecal sample collected at a site,Late winter of 2006-2008,fecal,,n of sites = 6 (uknown n of samples),Composition (percent of diet) and corrected by the desnity of plant framents in feces for apparent digestibality (boertje 1990_,77,3,6,1,4,0.7,7,1.8,NA,NA,NA,NA,6,1.3,NA,NA,,,winter,2007,NA,NA,Migratory Herd,1,Authors State: Characteristics of diet and terrain did not differ by ecotype or herd
16b.3,Gustine et al.,2012,Journal of Mammology,,66,-160,13.3,18.7,NA,Ambler Lake AK,NA,66°N,160°W,Estimated from map,Western Arctic,migratory,barren-ground,A composite sample of feces was created for each foraging site to estimate the proportion of plants within forage groups in the diet. Composite samples (Table 1) were created by randomly selecting 5–10 pellets from each fecal sample collected at a site,Late winter of 2006-2008,fecal,,n of sites = 3 (uknown n of samples),Composition (percent of diet) and corrected by the desnity of plant framents in feces for apparent digestibality (boertje 1990_,60,4.1,7,1,0,0,18,4.5,NA,NA,NA,NA,13,2.2,NA,NA,,,winter,2008,NA,NA,Migratory Herd,1,Authors State: Characteristics of diet and terrain did not differ by ecotype or herd
16c.1,Gustine et al.,2012,Journal of Mammology,,62,-138,10.9,17.5,195.7,Burwash YT,89.59,62°N,138°W,Estimated from map,Chisana (Sedentary),sedentary,woodland,A composite sample of feces was created for each foraging site to estimate the proportion of plants within forage groups in the diet. Composite samples (Table 1) were created by randomly selecting 5–10 pellets from each fecal sample collected at a site,Late winter of 2006-2008,fecal,,n of sites = 5 (uknown n of samples),Composition (percent of diet) and corrected by the desnity of plant framents in feces for apparent digestibality (boertje 1990_,72,2.7,1,0.7,4,0.8,10,3,NA,NA,NA,NA,13,1.2,NA,NA,,,winter,2006,NA,NA,Sedentary Herd,4,Authors State: Characteristics of diet and terrain did not differ by ecotype or herd
16c.2,Gustine et al.,2012,Journal of Mammology,,62,-138,10.9,17.5,195.7,Burwash YT,89.59,62°N,138°W,Estimated from map,Chisana (Sedentary),sedentary,woodland,A composite sample of feces was created for each foraging site to estimate the proportion of plants within forage groups in the diet. Composite samples (Table 1) were created by randomly selecting 5–10 pellets from each fecal sample collected at a site,Late winter of 2006-2008,fecal,,n of sites = 3 (uknown n of samples),Composition (percent of diet) and corrected by the desnity of plant framents in feces for apparent digestibality (boertje 1990_,68,2.8,3,0.7,4,3.4,4,0.5,NA,NA,NA,NA,20,0.2,NA,NA,,,winter,2008,NA,NA,Sedentary Herd,4,Authors State: Characteristics of diet and terrain did not differ by ecotype or herd
16d.1,Gustine et al.,2012,Journal of Mammology,,63,-150,13.7,18.4,44.8,Talkeetna Airport AK,NA,63°N,150°W,Estimated from map,Denali (Sedentary),barren-ground,barren-ground,A composite sample of feces was created for each foraging site to estimate the proportion of plants within forage groups in the diet. Composite samples (Table 1) were created by randomly selecting 5–10 pellets from each fecal sample collected at a site,Late winter of 2006-2008,fecal,,n of sites = 2 (uknown n of samples),Composition (percent of diet) and corrected by the desnity of plant framents in feces for apparent digestibality (boertje 1990_,54,6.8,15,2.4,0,0,15,3.9,NA,NA,NA,NA,16,0.4,NA,NA,,,winter,2007,NA,NA,Sedentary Herd,2,Authors State: Characteristics of diet and terrain did not differ by ecotype or herd
16d.2,Gustine et al.,2012,Journal of Mammology,,63,-150,13.7,18.4,44.8,Talkeetna Airport AK,NA,63°N,150°W,Estimated from map,Denali (Sedentary),barren-ground,barren-ground,A composite sample of feces was created for each foraging site to estimate the proportion of plants within forage groups in the diet. Composite samples (Table 1) were created by randomly selecting 5–10 pellets from each fecal sample collected at a site,Late winter of 2006-2008,fecal,,n of sites = 2 (uknown n of samples),Composition (percent of diet) and corrected by the desnity of plant framents in feces for apparent digestibality (boertje 1990_,77,5.1,5,3.3,0,0,5,2.8,NA,NA,NA,NA,13,0.3,NA,NA,,,winter,2008,NA,NA,Sedentary Herd,2,Authors State: Characteristics of diet and terrain did not differ by ecotype or herd
17a.1,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,69,-150,7.3,10.9,NA,Nuiqsut Airport AK,NA,69°N,150°W,Estimated from map,Central Arctic,migratory,barren-ground,Microhistological analysis of plant fibers extracted from feces,October-April 2006-2008,fecal,microhisto,65,Precentage of deit,76,5.3,6,3.3,1,1.6,8,1.8,NA,NA,NA,NA,9,3.6,NA,NA,NA,NA,winter,2006,NA,NA,,3,"It seems like simlar data to Gustine 2012, but the paper doesnt say its the same data"
17a.2,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,69,-150,7.3,10.9,NA,Nuiqsut Airport AK,NA,69°N,150°W,Estimated from map,Central Arctic,migratory,barren-ground,Microhistological analysis of plant fibers extracted from feces,October-April 2006-2008,fecal,microhisto,68,Precentage of deit,61,23.3,9,11.5,0,0.2,7,5.8,NA,NA,NA,NA,24,15,NA,NA,NA,NA,winter,2007,NA,NA,,3,"It seems like simlar data to Gustine 2012, but the paper doesnt say its the same data"
17a.3,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,69,-150,7.3,10.9,NA,Nuiqsut Airport AK,NA,69°N,150°W,Estimated from map,Central Arctic,migratory,barren-ground,Microhistological analysis of plant fibers extracted from feces,October-April 2006-2008,fecal,microhisto,60,Precentage of deit,47,26.5,7,2.8,13,9.2,10,5.4,NA,NA,NA,NA,24,11.2,NA,NA,NA,NA,winter,2008,NA,NA,,3,"It seems like simlar data to Gustine 2012, but the paper doesnt say its the same data"
17b.1,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,62,-138,10.9,17.5,195.7,Burwash YT,89.59,62°N,138°W,Estimated from map,Chisana,sedentary,woodland,Microhistological analysis of plant fibers extracted from feces,October-April 2006 and 2008,fecal,microhisto,30,Precentage of deit,72,6,2,1.5,4,1.8,11,3.5,NA,NA,NA,NA,13,2.7,NA,NA,NA,NA,winter,2006,NA,NA,,4,"It seems like simlar data to Gustine 2012, but the paper doesnt say its the same data"
17b.2,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,62,-138,10.9,17.5,195.7,Burwash YT,89.59,62°N,138°W,Estimated from map,Chisana,sedentary,woodland,Microhistological analysis of plant fibers extracted from feces,October-April 2006 and 2008,fecal,microhisto,30,Precentage of deit,68,4.9,3,1.3,4,5.9,4,0.4,NA,NA,NA,NA,20,0.4,NA,NA,NA,NA,winter,2008,NA,NA,,4,"It seems like simlar data to Gustine 2012, but the paper doesnt say its the same data"
17c.1,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,63,-150,13.7,18.4,44.8,Talkeetna Airport AK,NA,63°N,150°W,Estimated from map,Denali,barren-ground,barren-ground,Microhistological analysis of plant fibers extracted from feces,October-April 2007-2008,fecal,microhisto,30,Precentage of deit,54,9.7,15,3.4,0,0.1,15,5.6,NA,NA,NA,NA,16,0.6,NA,NA,NA,NA,winter,2007,NA,NA,,2,"It seems like simlar data to Gustine 2012, but the paper doesnt say its the same data"
17c.2,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,63,-150,13.7,18.4,44.8,Talkeetna Airport AK,NA,63°N,150°W,Estimated from map,Denali,barren-ground,barren-ground,Microhistological analysis of plant fibers extracted from feces,October-April 2007-2008,fecal,microhisto,29,Precentage of deit,77,7.3,5,4.6,0,0,5,4,NA,NA,NA,NA,13,0.5,NA,NA,NA,NA,winter,2008,NA,NA,,2,"It seems like simlar data to Gustine 2012, but the paper doesnt say its the same data"
17d.1,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,66,-160,13.3,18.7,NA,Ambler Lake AK,NA,66°N,160°W,Estimated from map,Western Arctic,migratory,barren-ground,Microhistological analysis of plant fibers extracted from feces,October-April 2006-2008,fecal,microhisto,108,Precentage of deit,68,7.9,5,1.7,0,0.4,15,5,NA,NA,NA,NA,11,3.6,NA,NA,NA,NA,winter,2006,NA,NA,,1,"It seems like simlar data to Gustine 2012, but the paper doesnt say its the same data"
17d.2,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,66,-160,13.3,18.7,NA,Ambler Lake AK,NA,66°N,160°W,Estimated from map,Western Arctic,migratory,barren-ground,Microhistological analysis of plant fibers extracted from feces,October-April 2006-2008,fecal,microhisto,100,Precentage of deit,77,7.5,6,2.4,4,1.8,7,4.1,NA,NA,NA,NA,6,3.3,NA,NA,NA,NA,winter,2007,NA,NA,,1,"It seems like simlar data to Gustine 2012, but the paper doesnt say its the same data"
17d.3,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,66,-160,13.3,18.7,NA,Ambler Lake AK,NA,66°N,160°W,Estimated from map,Western Arctic,migratory,barren-ground,Microhistological analysis of plant fibers extracted from feces,October-April 2006-2008,fecal,microhisto,58,Precentage of deit,60,7.2,7,1.8,1,0.4,18,6.6,NA,NA,NA,NA,13,3.8,NA,NA,NA,NA,winter,2008,NA,NA,,1,"It seems like simlar data to Gustine 2012, but the paper doesnt say its the same data"
17e,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,69,-117,9,13.1,144.5,Kugluktuk NU,151.91,69°N,117°W,Estimated from map,Bathurst,migratory,barren-ground,Microhistological analysis of plant fibers extracted from feces,October-April 2008-2009,fecal,microhisto,38,Precentage of deit,90,1,1,0.1,1,0.2,4,0.8,NA,NA,NA,NA,4,0.1,NA,NA,NA,NA,winter,2008,NA,NA,,1,
17f,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,66,-115,8.8,12.6,160.5,Lupin NU,172,66°N,115°W,Estimated from map,Bluenose East,barren-ground,barren-ground,Microhistological analysis of plant fibers extracted from feces,October-April 2006-2008,fecal,microhisto,70,Precentage of deit,53,8.1,10,1.3,4,1.3,16,5.7,NA,NA,NA,NA,18,3.4,NA,NA,NA,NA,winter,2006,NA,NA,,1,
17g,Gustine et al.,2014,Rapid Communications in Mass Spectrometry,,67,-52,,,,,,67°N,52°W,Estimated from map,Kangerlussuaq-Sisimiut,migratory,Greenland,Microhistological analysis of plant fibers extracted from feces,October-April 2007-2008,fecal,microhisto,23,Precentage of deit,75,0.5,5,2,1,0.5,6,2.2,NA,NA,NA,NA,13,0.2,NA,NA,NA,NA,winter,2008,NA,NA,,1,
21a,Ihl,2010,Journal of Wildlife Management,Seward Peninsula,67,-163,10.1,13.3,26.36,Nome AK,,67°N,163°W,Estimated from map,Western arctic,migratory,barren-ground,Analysis of 11 fecal samples (each sample had 6-10 pellets from 6 pellet groups),5th of March - 6th of May 2001,fecal,,11,averaged percent composition of moss in fecal samples from feeding sites within the same wintering area to represent forage selection at wintering areas.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,2,NA,NA,NA,NA,winter,NA,NA,NA,"The Seward Peninsula study area differed from Cape Krusenstern in that hilltops used by Arctic ungulates were generally lower in elevation, less windblown, and more vegetated",2,Only looks at precent of diet that is moss
21b,Ihl,2010,Journal of Wildlife Management,Cape Krusenstern National Monument,65.285,-164.675,10.1,13.3,26.36,Nome AK,,64°43' - 66°14'N,163°28' - 166°07' - W),"Map not provided, used data from Finstand and Kirkland",Western arctic,migratory,barren-ground,Analysis of 7 fecal samples (each sample had 6-10 pellets from 6 pellet groups),5th of March - 6th of May 2001,fecal,,7,averaged percent composition of moss in fecal samples from feeding sites within the same wintering area to represent forage selection at wintering areas.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,2.1,NA,NA,NA,NA,winter,NA,NA,NA,"The Seward Peninsula study area differed from Cape Krusenstern in that hilltops used by Arctic ungulates were generally lower in elevation, less windblown, and more vegetated",2,Only looks at precent of diet that is moss
22a,Ihl and Klein,2001,Journal of Wildlife Management,Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,,64°43' - 66°14'N,163°28' - 166°07' - W),"Map not provided, used data from Finstand and Kirkland",Seward Peninsula,introduced reindeer,introduced-reindeer,"analysis of 14 fecal samples, each sample had 10 pellet groups",14 samples collected from Mar 21-May 5 1996,fecal,,14,estimated percent diet composition (adjusted for reported in matter digestibility),55.5,2.2,7.2,0.9,12,1.7,2.9,0.5,15.3,2.9,NA,NA,7,0.7,NA,NA,NA,NA,winter,1996,NA,NA,,2,
22b,Ihl and Klein,2001,Journal of Wildlife Management,Seward Peninsula,65.285,-164.675,10.1,13.3,26.36,Nome AK,,64°43' - 66°14'N,163°28' - 166°07' - W),"Map not provided, used data from Finstand and Kirkland",Seward Peninsula,introduced reindeer,introduced-reindeer,"analysis of 12 fecal samples, each sample had 10 pellet groups",12 samples collected Mar 16 - Apr 25 1997,fecal,,12,estimated percent diet composition (adjusted for reported in matter digestibility),53.6,2.9,12.1,1.6,8.4,0.8,8.6,0.8,7,1.4,NA,NA,10.4,1.3,NA,NA,NA,NA,winter,1997,NA,NA,,2,
24a,Joly and Cameron,2018,Rangifer,"Brooks Range, AK",67.1,-156,11.4,16.7,24.9,Bettles AK,,67° 1' N,162-150 W,"Northing given, longitued estimated from map",Western Arctic,barren-ground,barren-ground,fecal sampling,"September 2010-2012,",fecal,,58,,65.9,1.3,4.2,NA,5,NA,11.3,1,NA,NA,NA,NA,8.1,0.5,3.6,NA,NA,NA,fall,There is some interanual variation that could be gotten if digitized,NA,NA,,3,"Could be digitzed for interannual data, but they say there isnt much inter year varriation"
24b,Joly and Cameron,2018,Rangifer,"Brooks Range, AK",67.1,-156,11.4,16.7,24.9,Bettles AK,,67° 1' N,162-150 W,"Northing given, longitued estimated from map",Western Arctic,barren-ground,barren-ground,fecal sampling,"We collected a total of 338 samples during late winter; 19 samples from 2 sites from April 15-27, 2011, 188 samples from 38 sites from February 7 to April 27, 2012, and 131 samples from 18 sites from April 15-17, 2013",fecal,,338,3-year mean and SE,70.8,0.8,6.7,0.3,6,0.4,9.1,0.3,NA,NA,NA,NA,11,0.4,0,0,NA,NA,winter,There is some interanual variation that could be gotten if digitized,NA,NA,,3,"Could be digitzed for interannual data, but they say there isnt much inter year varriation"
25a.1,Joly et al,2015,PLoS ONE,"Brooks Range, AK",67.1,-156,11.4,16.7,24.9,Bettles AK,,67° 1' N,162-150 W,"Northing given, longitued estimated from map",Western Arctic,barren-ground,barren-ground,Analysis of plant fragments in fecal sample,"Mar 22-Apr 27 (2012), Apr 15-Apr 17 (2013)",fecal,,75,"Diet composition (mean ± SE %) of caribou in northwest Alaska derived from microhistology of feces collected in 2012 that were corrected for digestibility (sensu Gustine et al., 2011).",68.4,1.8,6.3,0.4,2.9,0.5,8.2,0.6,NA,NA,NA,NA,14,1,NA,NA,0,0,winter,NA,NA,Pregnant Cows,Diets of GMH caribou had more lichen than the arctic caribou. The amount of lichen in the diet of caribou at a given location declined with increasing latitude,3,"pregnant caribou had less lichen (70.1%; 95% CI 66.5– 73.6%) in the diet than non-pregnant caribou (75.8%; 95% CI 70.1–81.6%) and males (75.9%; 95% CI 72.8–79.0%; F2, 206 = 3.49, P = 0.03; Table 1)."
25a.2,Joly et al,2015,PLoS ONE,"Brooks Range, AK",67.1,-156,11.4,16.7,24.9,Bettles AK,,67° 1' N,162-150 W,"Northing given, longitued estimated from map",Western Arctic,barren-ground,barren-ground,Analysis of plant fragments in fecal sample,"Mar 22-Apr 27 (2012), Apr 15-Apr 17 (2013)",fecal,,28,"Diet composition (mean ± SE %) of caribou in northwest Alaska derived from microhistology of feces collected in 2012 that were corrected for digestibility (sensu Gustine et al., 2011).",72.5,2.9,5.2,0.5,2.6,0.7,6.8,1,NA,NA,NA,NA,13,1.7,NA,NA,0.1,0,winter,NA,NA,Not-Pregnant Cows,Diets of GMH caribou had more lichen than the arctic caribou. The amount of lichen in the diet of caribou at a given location declined with increasing latitude,3,"pregnant caribou had less lichen (70.1%; 95% CI 66.5– 73.6%) in the diet than non-pregnant caribou (75.8%; 95% CI 70.1–81.6%) and males (75.9%; 95% CI 72.8–79.0%; F2, 206 = 3.49, P = 0.03; Table 1)."
25a.3,Joly et al,2015,PLoS ONE,"Brooks Range, AK",67.1,-156,11.4,16.7,24.9,Bettles AK,,67° 1' N,162-150 W,"Northing given, longitued estimated from map",Western Arctic,barren-ground,barren-ground,Analysis of plant fragments in fecal sample,"Mar 22-Apr 27 (2012), Apr 15-Apr 17 (2013)",fecal,,74,"Diet composition (mean ± SE %) of caribou in northwest Alaska derived from microhistology of feces collected in 2012 that were corrected for digestibility (sensu Gustine et al., 2011).",72.8,1.7,5.8,0.5,1.7,0.3,7.6,0.7,NA,NA,NA,NA,11.9,1,NA,NA,0.1,0,winter,NA,NA,Bulls,Diets of GMH caribou had more lichen than the arctic caribou. The amount of lichen in the diet of caribou at a given location declined with increasing latitude,3,"pregnant caribou had less lichen (70.1%; 95% CI 66.5– 73.6%) in the diet than non-pregnant caribou (75.8%; 95% CI 70.1–81.6%) and males (75.9%; 95% CI 72.8–79.0%; F2, 206 = 3.49, P = 0.03; Table 1)."
25b.1,Joly et al,2015,PLoS ONE,"Brooks Range, AK",67.1,-152,11.4,16.7,24.9,Bettles AK,,67° 1' N,152 W,"Northing given, longitued estimated from map",Galena Mountain Herd caribou,mountaine,mountaine,Analysis of plant fragments in fecal sample,"Mar 22-Apr 27 (2012), Apr 15-Apr 17 (2013)",fecal,,6,"Diet composition (mean ± SE %) of caribou in northwest Alaska derived from microhistology of feces collected in 2012 that were corrected for digestibility (sensu Gustine et al., 2011).",90.5,2.2,3.3,1.7,0.8,0.5,2.1,0.9,NA,NA,NA,NA,3.1,1.5,NA,NA,0.1,0.1,winter,NA,NA,Pregnant Cows,Diets of GMH caribou had more lichen than the arctic caribou. The amount of lichen in the diet of caribou at a given location declined with increasing latitude,3,"pregnant caribou had less lichen (70.1%; 95% CI 66.5– 73.6%) in the diet than non-pregnant caribou (75.8%; 95% CI 70.1–81.6%) and males (75.9%; 95% CI 72.8–79.0%; F2, 206 = 3.49, P = 0.03; Table 1)."
25b.2,Joly et al,2015,PLoS ONE,"Brooks Range, AK",67.1,-152,11.4,16.7,24.9,Bettles AK,,67° 1' N,152 W,"Northing given, longitued estimated from map",Galena Mountain Herd caribou,mountaine,mountaine,Analysis of plant fragments in fecal sample,"Mar 22-Apr 27 (2012), Apr 15-Apr 17 (2013)",fecal,,6,"Diet composition (mean ± SE %) of caribou in northwest Alaska derived from microhistology of feces collected in 2012 that were corrected for digestibility (sensu Gustine et al., 2011).",91.5,4.6,1,0.5,1.1,1,2.2,0.7,NA,NA,NA,NA,3.9,2.5,NA,NA,0.3,0.2,winter,NA,NA,Not-Pregnant Cows,Diets of GMH caribou had more lichen than the arctic caribou. The amount of lichen in the diet of caribou at a given location declined with increasing latitude,3,"pregnant caribou had less lichen (70.1%; 95% CI 66.5– 73.6%) in the diet than non-pregnant caribou (75.8%; 95% CI 70.1–81.6%) and males (75.9%; 95% CI 72.8–79.0%; F2, 206 = 3.49, P = 0.03; Table 1)."
25b.3,Joly et al,2015,PLoS ONE,"Brooks Range, AK",67.1,-152,11.4,16.7,24.9,Bettles AK,,67° 1' N,152 W,"Northing given, longitued estimated from map",Galena Mountain Herd caribou,mountaine,mountaine,Analysis of plant fragments in fecal sample,"Mar 22-Apr 27 (2012), Apr 15-Apr 17 (2013)",fecal,,18,,88.8,1.4,1.6,0.4,0.4,0.1,4.2,0.5,NA,NA,NA,NA,4.7,1,NA,NA,0.4,0.1,winter,NA,NA,Bulls,Diets of GMH caribou had more lichen than the arctic caribou. The amount of lichen in the diet of caribou at a given location declined with increasing latitude,3,"pregnant caribou had less lichen (70.1%; 95% CI 66.5– 73.6%) in the diet than non-pregnant caribou (75.8%; 95% CI 70.1–81.6%) and males (75.9%; 95% CI 72.8–79.0%; F2, 206 = 3.49, P = 0.03; Table 1)."
27a,Jung et al,2015,The Journal of Wildlife Management,Western Yukon,67.8,-163.5,9.4,12.3,NA,Kivalina Airport AK,,67° 8' N,163° 5'W,direct from paper,"Boreal Cordillera Ecozone, east of Haines Junction",woodland,woodland,each of nine facal samples made up of multiple depositts totalling 250g,4 samples during summer (May 15 - Oct 14),fecal,,4,Means and standard errors (SE) of percent fecal composition of,30.5,9.5,29.9,6.5,4.5,1.3,23.3,6.9,NA,NA,0,0,11.8,2.8,NA,NA,NA,NA,summer,NA,NA,NA,All high elevation,2,
27b,Jung et al,2015,The Journal of Wildlife Management,Western Yukon,67.8,-163.5,9.4,12.3,NA,Kivalina Airport AK,,67° 8' N,163° 5'W,direct from paper,"Boreal Cordillera Ecozone, east of Haines Junction",woodland,woodland,each of nine facal samples made up of multiple depositts totalling 250g,5 samples during winter (Oct 15 - May 14) Jan 2009 -Sept 2010,fecal,,5,Means and standard errors (SE) of percent fecal composition of,55.5,4,13,4.9,9.6,2.3,8,1.1,NA,NA,0,0,13.8,"2,4",NA,NA,NA,NA,winter,NA,NA,NA,All high elevation,2,
29a,Kazmin et al,2011,Biology Bulletin,Wrangel Island Nature Reserve,71.11,-179.38,14.1,17.7,96.2,Wrangel Island AK,,71° 11' 15.9144'' N,179° 38' 54.3768'' W,Used google to find the island,Wrangel Island,reindeer,reindeer,histological analysis of fecal samples from 11 plots,"2006-2007. 6 samples during summer, 2 samples during autumn, 3 samples during winter",fecal,microhisto,6,"Composition of the diet (%, mean, Sx )",0,0,22.4,1.1,NA,NA,43.1,5.3,NA,NA,NA,NA,7.4,2.3,NA,NA,"Legumes (15.5 ± 1.0, mixed herbs 11.6 ± 0.1)",NA,summer,NA,NA,NA,,1,
29b,Kazmin et al,2011,Biology Bulletin,Wrangel Island Nature Reserve,71.11,-179.38,14.1,17.7,96.2,Wrangel Island AK,,71° 11' 15.9144'' N,179° 38' 54.3768'' W,Used google to find the island,Wrangel Island,reindeer,reindeer,histological analysis of fecal samples from 11 plots,"2006-2007. 6 samples during summer, 2 samples during autumn, 3 samples during winter",fecal,microhisto,2,"Composition of the diet (%, mean, Sx )",0,0,15.9,2.1,NA,NA,37.9,15,NA,NA,NA,NA,4.5,4.5,NA,NA,"Legumes (24.3 ± 2.6, mixed herbs 17.4 ± 1.4)",NA,fall,NA,NA,NA,,1,
29c,Kazmin et al,2011,Biology Bulletin,Wrangel Island Nature Reserve,71.11,-179.38,14.1,17.7,96.2,Wrangel Island AK,,71° 11' 15.9144'' N,179° 38' 54.3768'' W,Used google to find the island,Wrangel Island,reindeer,reindeer,histological analysis of fecal samples from 11 plots,"2006-2007. 6 samples during summer, 2 samples during autumn, 3 samples during winter",fecal,microhisto,3,"Composition of the diet (%, mean, Sx )",0,0,6.3,1.8,NA,NA,49.6,18,NA,NA,NA,NA,18.1,7.5,NA,NA,"Legumes (9.3 ± 0.9, mixed herbs 13.7 ± 1.8)",NA,winter,NA,NA,NA,,1,
30a,Kojola et al,1995,Wildlife Biology,northern finland,69,26,,,,,,68-70 N,22-30 W,Estimated from map,Northern Finland,reindeer,reindeer,"microhistological analysis of 599 faecal pellet groups, 3-6 from each site","Winter 1990, 1991",fecal,microhisto,599,"Proportion in diet (% mean, SD)",53.9,18.6,10.1,6.6,NA,NA,16.5,16.6,NA,NA,NA,NA,7.8,4.3.,NA,NA,NA,NA,fall,NA,NA,NA,NA,2,Average of 12 herds
30b,Kojola et al,1995,Wildlife Biology,northern finland,69,26,,,,,,68-70 N,22-30 W,Estimated from map,Northern Finland,reindeer,reindeer,"microhistological analysis of 599 faecal pellet groups, 3-6 from each site","Winter 1990, 1991",fecal,microhisto,599,"Proportion in diet (% mean, SD)",53.2,20.1,6.3,4.8,NA,NA,22.9,17.5,NA,NA,NA,NA,10.7,4.3,NA,NA,NA,NA,winter,NA,NA,NA,NA,2,Average of 12 herds
31a,Larter and Nagy,2004,Polar Research,Banks Island,72.5,-122,3.7,6.5,58.3,"Sachs Harbour, NWT",112.36,71-74 N,118-126 W,Estimated from map,Peary,Peary,Peary,fecal sampling,"In June-August, November, December,February, April-May From June 1993-May 1998 fresh feces collected. In March 1993, May 1993, January 2001 samples were collected from animals killed by hunters since the 1990s. In winter 1993-94, samples were taken from animals in a collection.",fecal,,12,"Monthly diet composition, mean percent relative density of faecal plant fragments, of a) Peary caribou",10.9,NA,20.2,NA,NA,NA,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Legume (17.1%), Other(7%)",NA,winter,NA,NA,NA,NA,1,
